0	0-0 1-1 2-2 3-3 4-4 4-5 5-8 6-7 7-9 8-11 9-12 10-13 11-10 12-14 13-15 14-18 16-19 17-20 18-22 19-23 20-24 21-21 22-25
1	2-1 5-2 5-3 6-4 7-5 8-6 9-8 10-8 13-7 15-11 16-12 17-14 17-15 18-13 19-17
2	0-0 1-1 2-1 4-3 4-4 5-5 5-6 6-7
3	16-1 17-2 18-3 18-4 19-5 20-7 21-8 22-0 23-9
4	0-0 3-5
5	0-0 2-1 3-10 4-10 7-10 6-8 8-3 9-4 10-5 11-6 12-12 13-13 14-14 15-15 16-16 16-17 17-18 17-19 18-20 19-23 20-26 21-27 22-28 23-27 24-25 25-24 31-31
6	1-1 1-2 2-3 3-4 5-5 6-6 6-7 7-8
7	0-0 1-1 2-2 3-3 5-4 6-7 7-5 8-6 9-8 10-13 10-15 11-9 12-10 12-11 12-12 13-18 14-19 15-14 16-23 17-17 19-22 20-21 21-26 22-25 23-28 24-29 25-33
8	0-0 1-5	2-2 3-3 4-4 5-6
9	1-1 2-0 3-2 4-3 7-6 8-7 9-8 10-11 11-12 12-13 13-15 14-16 15-17 17-18
10	1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 8-8 9-9 10-10 11-11 12-12
11	1-2 3-5 5-7 10-8 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-20 19-21 20-22 21-23
12	0-0 1-1 2-5 3-6 4-7 5-3 5-4 6-2 8-8 9-9 10-10 11-11 12-12 16-14 18-16 19-17 20-18 21-19
13	0-0 1-1 2-2 3-5 4-3 5-6
14	0-0 1-1 2-2 3-3 6-4 7-5 7-6
15	1-8 2-9 4-10 4-12 5-6 6-5 7-1 8-2 9-13
16	0-0 1-1 3-2 5-3 6-5 7-4 8-6
17	0-2 1-1 2-4 3-3 4-5
18	1-0 2-1 3-2 3-3 4-4 5-5 6-6 7-7
19	0-3 3-0 4-1 5-4
20	0-5 1-6 2-7 2-8 3-3 4-0 5-2 7-4 8-9
21	0-8 0-9 1-4 2-6 3-5 4-5 7-7 8-10 10-15 12-13 12-14 14-17 15-18 17-20 18-21 18-22 19-23 20-24 22-26 23-27 24-30 25-29 26-28 27-31
22	0-0 1-2 2-8 3-10 4-3 5-4 6-5 7-6 8-7 9-11
23	0-0 1-1 2-4 3-2 4-8 5-9 6-10 8-6 9-7 10-11
24	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11
25	1-0 2-1 3-2 4-3 5-5 6-7 8-8 9-9 10-6 11-4 12-10 17-16 18-19 19-20 19-21 19-24 19-25 19-26 20-15 21-27
26	1-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-12 10-14 11-15 13-10 14-16 15-17 16-25 17-22 19-18 20-26
27	1-0 2-4
28	0-2 1-3 2-0 3-1 4-4 5-8 7-5 8-9 9-10 10-11 11-12 12-13 13-14
29	0-0 2-1 3-2 4-3 5-4 6-5 7-8 8-9 10-6 11-9 12-7 13-10 14-14 15-11 16-12 17-17 18-18 19-13 20-15 21-16 22-19
